Nombre Empresa,Descripción,Región,Categoría,URL
QUIMICA E INDUSTRIA DEL BORAX LTDA.,MINA SURIRE,XV,MINERA B,https://quiborax.trabajando.cl/trabajo-empleo/
COLLAHUASI,UJINA,I,MINERA A,https://www.collahuasi.cl/trabaja-con-nosotros/ofertas-laborales/
Cía. Mra. Teck Quebrada Blanca S. A.,QUEBRADA BLANCA,I,MINERA A,https://jobs.teck.com/search/?createNewAlert=false&q=&locationsearch=chile
ELECCON MAQUINARIAS S.A.,Varios,I,CONTRATISTA,https://ofertas.talana.com/eleccon_maquinarias
GEOBLAST,Gestion,I,CONTRATISTA,https://geoblast.hiringroom.com/jobs
SQM S.A.,POZO ALMONTE (MINAS Y FAENA TEA),I,MINERA A,https://www.trabajaensqm.com/
ALGORTA NORTE S.A.,FAENA ALGORTA NORTE,II,MINERA A,https://trabajos.cmp.cl/
BIO BIO CEMENTOS SA,MINA EL WAY,II,MINERA A,https://empleoscbb.trabajando.cl/jobs/home
CMZ SpA,ZALDIVAR,II,MINERA A,https://www.aminerals.cl/trabaja-con-nosotros
CODELCO ,CODELCO CHILE DIVISION CHUQUICAMATA,II,MINERA A,https://empleos.codelco.cl/search/
LOMAS BAYAS,LOMAS BAYAS,II,MINERA A,https://lomasbayas.trabajando.cl/
MANTOS COPPER S.A,MANTOS BLANCOS,II,MINERA A,https://capstonecopper.com/careers/current-opportunities/
MINERA CENTINELA,CENTINELA SULFUROS,II,MINERA A,https://www.aminerals.cl/trabaja-con-nosotros
MINERA ESCONDIDA LTDA.,MINA ESCONDIDA ,II,MINERA A,https://careers.bhp.com/search?q=&q2=&alertId=&title=&location=chile&state=&shifttype=&facility=
MINERA MERIDIAN LIMITADA,PROYECTO PAMPA AUGUSTA VICTORIA,II,MINERA B,https://panamericansilver.com/careers/join-our-team/?_sft_job-country=chile
MINERA SPENCE,MINA SPENCE,II,MINERA A,https://careers.bhp.com/search?q=&q2=&alertId=&title=&location=chile&state=&shifttype=&facility=
Minera Antucoya,MINA ANTUCOYA,II,MINERA A,https://www.aminerals.cl/trabaja-con-nosotros
QUIMICA E INDUSTRIA DEL BORAX LTDA.,SALAR ASCOTAN ,II,MINERA C,https://quiborax.trabajando.cl/trabajo-empleo/
RAM RENTAL SPA,,II,CONTRATISTA,www.ramrental.cl
SIERRA GORDA SCM,SIERRA GORDA,II,MINERA A,https://sgscm.laborum.cl/listadoofertas.bum
CIA CONTRACTUAL MINERA CANDELARIA,MINERA CANDELARIA,III,MINERA A,https://jobs.lundinmining.com/search/?createNewAlert=false&q=&locationsearch=chile&optionsFacetsDD_location=&optionsFacetsDD_department=&optionsFacetsDD_country=&optionsFacetsDD_lang=
CODELCO ,CODELCO CHILE DIVISION SALVADOR ,III,MINERA A,https://empleos.codelco.cl/search
COMPAÑIA MINERA MANTOS DE ORO,LA COIPA,III,MINERA B,https://jobs.kinross.com/search/?createNewAlert=false&q=&locationsearch=chile
Empresa,MANTO VERDE,III,MINERA A,https://capstonecopper.com/es/empleos/current-opportunities/
Gold Fields,SALARES NORTE,III,MINERA B,https://careers.goldfields.com/search/?createNewAlert=false&q=&locationsearch=salares+norte
MINERA LUMINA COPPER CHILE LTDA,CASERONES,III,MINERA A,https://caserones.trabajando.cl/empleos/ofertas
PUCOBRE,MINA PUNTA DEL COBRE,III,MINERA A,https://pucobre.buk.cl/trabaja-con-nosotros
SOCIEDAD CONTRACTUAL MINERA ATACAMA KOZA,KOZAN,III,MINERA A,https://www.atacamakozan.cl/?page_id=76
CIA MRA. TECK CARMEN DE ANDACOLLO,FAENA ANDACOLLO COBRE,IV,MINERA A,https://jobs.teck.com/search/?createNewAlert=false&q=&locationsearch=chile
EMPRESA NACIONAL DE MINERIA (ENAMI),FAENA ENAMI DELTA,IV,MINERA A,https://atsclientes.cdohr.cl/landing/page/enami#ofertas
HIDRATEC,Mecanismos,IV,CONTRATISTA,https://www.hidratec.cl/employ
MAESTRANZA METAL MECANICA MAHEGA LTDA.,Mantenimiento,IV,CONTRATISTA,https://www.mahega.com/contact-1
MINERA LOS PELAMBRES,FAENA LOS PELAMBRES,IV,MINERA A,https://www.aminerals.cl/trabaja-con-nosotros
Melon,FAENA LA NIÑA,IV,MINERA C,https://melon.trabajando.cl/empleos/ofertas
PUCOBRE,PROYECTO EL ESPINO,IV,MINERA C,https://pucobre.buk.cl/trabaja-con-nosotros
ANGLO AMERICAN SUR S.A.,DIVISION EL SOLDADO,V,MINERA A,https://www.angloamerican.com/careers/job-opportunities/apply
CODELCO ,CODELCO CHILE DIVISION ANDINA,V,MINERA A,https://empleos.codelco.cl/search
DELPRO,,V,CONTRATISTA,https://cl.computrabajo.com/delpro/empleos
E-MINING TECHNOLOGY S.A.,,V,CONTRATISTA,www.eminingtech.com
MINERA LAS CENIZAS,MINA SAUCE,V,MINERA B,https://cl.linkedin.com/company/minera-las-cenizas-s-a-
WARTSILA CHILE LTDA.,,V,CONTRATISTA,www.wartsila.com
ALFA LAVAL SPA,Monitoreo ,RM,CONTRATISTA,https://career.alfalaval.com/es/jobs/search?page=1&query=+&country_codes%5B%5D=CL
ANGLO AMERICAN SUR S.A.,LOS BRONCES-LAS TÓRTOLAS,RM,MINERA A,https://www.angloamerican.com/careers/job-opportunities/apply
AZA,,RM,CONTRATISTA,https://azachile.trabajando.cl/trabajo-empleo/
Bell Ray,Mantenimiento,RM,CONTRATISTA,https://belray.trabajando.cl/trabajo-empleo/
CEMENTO POLPAICO S.A.,MINA DE PUZOLANA PUDAHUEL,RM,MINERA C,https://polpaicosoluciones.trabajando.cl/
CONPAX,,RM,CONTRATISTA,https://www.conpax.cl/postula_aqui/
COPEC,,RM,CONTRATISTA,https://ww2.copec.cl/nuestra-empresa/trabaja-con-nosotros
COSMOPLAS S.A.,,RM,CONTRATISTA,https://www.cosmoplas.com/trabaja-con-nosotros/
CUMMINS CHILE S.A.,,RM,CONTRATISTA,https://komatsu.trabajando.cl/trabajo-empleo/
CYD INGENIERIA,,RM,CONTRATISTA,https://cydingenieria.trabajando.cl/trabajo-empleo/
DANFOSS CHILE LTDA.,,RM,CONTRATISTA,https://jobs.danfoss.com/search/?searchby=location&createNewAlert=false&q=&locationsearch=chile&geolocation=&optionsFacetsDD_department=&optionsFacetsDD_facility=
DAVEY BICKFORD CHILE SPA,,RM,CONTRATISTA,https://jobs.airavirtual.com/enaex#_ver_empleos
DELOITTE AUDITORES Y CONSULTORES LTDA.,,RM,CONTRATISTA,https://deloitte.trabajando.cl/trabajo-empleo/
DHL EXPRESS CHILE LTDA.,,RM,CONTRATISTA,https://careers.dhl.com/amer/es/search-results?from=10&s=1&lk=chile
DIVALCO S.A.,,RM,CONTRATISTA,https://divalco.trabajando.cl/trabajo-empleo/
"DVP, DE VICENTE PLASTICOS S.A.",,RM,CONTRATISTA,https://dvpchile.hiringroom.com/jobs
DYNO NOBEL EXPLOSIVOS CHILE,,RM,CONTRATISTA,https://phh.tbe.taleo.net/phh02/ats/careers/v2/searchResults?org=DYNONOBEL&cws=43
ECHEVERRIA IZQUIERDO MONTAJES INDUSTRIALES,,RM,CONTRATISTA,https://jobs.airavirtual.com/echeverria_izquierdo
ECOLAB,,RM,CONTRATISTA,https://jobs.ecolab.com/global/en/search-results?s=1
ECOMETALES LTDA.,,RM,CONTRATISTA,https://www.ecometales.cl/ecometales/site/edic/base/port/trabaja_con_nosotros.html
ENAEX,,RM,CONTRATISTA,https://jobs.airavirtual.com/enaex#tablejobs
